mi_CO2,mi_S,mi_H2O
0,53.97999869,2.422965161
0,39.83306199,2.414332756
0,118.1441143,2.710204128
0,686.3748466,3.365925663
0,1505.837403,3.609165396
0,122.0280355,2.08959703
0,279.6939947,2.669055268
0,186.962136,2.40253337
0,212.9344832,2.864936056
0,546.6068464,3.01747502
0,0,2.853812236
0,359.153629,2.830722852
0,0,3.004275909
0,144.2785392,2.277511731
0,35.19690182,2.187492472
0,362.4992901,2.791104342
0,188.1648394,2.500225766
0,2026.507913,3.650451541
0,1544.554505,3.511443794
502.320647,2290.968836,3.668967455
0,1084.496875,3.562581748
410.5004742,1283.425072,3.547465315
0,1033.764108,3.579438516
0,927.66086,3.613694784
