mi_S,mi_CO2,mi_H2O,mi_Fe_r,mi_S_r
1060,,0.5,0.189,0.05
1180,,0.49,0.189,0.07
1100,,0.51,0.185,0.08
1040,,0.46,0.185,0.06
1070,,0.45,0.188,0.06
1140,,,0.188,0.04
1040,,0.47,0.191,0.08
1220,,0.55,0.19,0.07
490,,0.17,0.131,0
350,,0.18,0.131,0
390,,0.16,0.124,0
520,,0.16,0.13,0
460,,0.18,0.126,0
680,,0.22,0.145,0
740,,0.23,0.143,0.02
660,,0.23,0.14,0
600,,0.24,0.137,0
1270,,0.51,0.192,0.05
1210,,0.48,0.193,0.07
1300,,0.54,0.194,0.08
1310,,0.5,0.196,0.08
1480,,0.59,0.196,0.06
620,,0.38,0.168,0.02
750,,0.4,0.173,0.03
730,,0.4,0.171,0.06
790,,0.81,0.181,0.06
950,,0.73,0.183,0.04
950,,0.72,0.181,0.04
950,,0.58,0.184,0.07
1060,,,0.184,0.06
910,,0.74,0.188,0.05
176,,0.1,0.14,
157,,0.14,0.14,
944,,0.1,0.15,
226,,0.13,0.14,
209,,0.12,0.14,
176,,0.09,0.14,
171,,0.1,0.14,
165,,0.13,0.13,
135,,0.09,0.13,
139,,0.11,0.13,
468,,0.18,0.18,
703,,0.22,0.15,
976,,0.16,0.15,
509,,0.15,0.14,
231,,0.09,0.14,
184,,0.11,0.13,
174,,0.08,0.13,
693,,0.28,0.17,
953,,0.31,0.19,
1570,,,0.19,
397,,0.26,0.16,
600,,0.18,0.14,
1304,,0.25,0.17,
167,,0.09,0.13,
144,,0.11,0.13,
219,,,0.14,
201,,,0.15,
777,,0.24,0.16,
234,,0.11,0.14,
1237,,0.29,0.18,
167,,0.09,0.13,
1170,,0.26,0.18,
234,,,0.14,
180,,0.1,0.13,
1141,,0.37,0.2,
157,,,0.14,
178,,,0.15,
177,,,0.14,
209,,0.09,0.15,
173,,0.08,0.14,
171,,0.09,0.14,
977,,0.29,0.15,
159,,0.16,0.13,
291,,,0.14,
